10016915Davis Baker                   0177498730Talmadge NM 58990                            81721362012-12-29
47649127Patricia Cox                  0326323558Comanche TX 58113                            94327132009-11-12
47688072John Jones                    0349367398Dayton CA 81524                              78918532001-09-08
47691839Thomas Reed                   1302102244Mallard PA 96259                             63968592020-12-03
47697485Ross Parker                   0485528768Kinsman NY 42161                             54945102005-03-20
47732895Karen Moore                   0546081289Hayes TX 64329                               92024382014-02-15
47776622Garcia Long                   0227833633Ruskin NY 82245                              29918812007-12-08
47868118Elijah Mitchell               0685402715Huxley CA 57123                              77364122006-10-25
47892507Lucas Morales                 0865966960Hagan GA 33699                               33393482019-01-08
47940280Morgan Jenkins                0241400930Starling TX 68267                            18184242016-04-17
48016093Charlotte Turner              0234407104Nobel DC 01464                               21003852017-10-20
48083826Ronald Cox                    0978093680Bowman OH 37710                              67350522001-01-22
48324487Joseph Cooper                 1723734556Pearson OH 29116                             99490412014-10-07
48363356Isabella Young                0866174220Petterle CA 38427                            18823532014-12-13
48373159Emma Morgan                   0736279997Brown IL 75066                               93118772002-07-10
48393451Mason Anderson                1693684771Sycamore FL 89264                            74114462013-02-21
48411873Emily Sullivan                0982468848Hagan GA 33699                               66452532002-11-05
48482140Rivera Cooper                 0220881767Russell TX 26695                             55300472000-04-14
48535311Mary Green                    0306020074Sachs AZ 63663                               92437132017-08-29
48544949Dorothy Martinez              0643705276Menomonie MA 71344                           37480962009-01-03
48581981Edward Martinez               1616008454Center LA 59387                              65358872002-01-11
