10062172Rogers Flores                 1103952274Bellgrove TX 58499                           64025522001-11-19
48390227Rodriguez Perez               1534494114Menomonie IL 66137                           47315902000-04-15
48397251Joshua Robinson               0515695433Mendota NC 57470                             85127662002-05-18
48404652Margaret Nguyen               0943154848Kinsman NY 42161                             42976962009-06-15
48407942Charles Perry                 1892620174Kinsman NY 42161                             73445282011-08-16
48420559Wilson Howard                 0251981221Lien LA 17733                                40349342012-05-12
48468620Charlotte Scott               1381768642Hollow Ridge CO 94270                        68183332006-09-16
48596403Martinez Bailey               1839070604Raven TX 79997                               65878872009-09-25
48617141Elizabeth Myers               1101962611Summer Ridge TX 86158                        83584542001-03-24
48763079Miller Ross                   0974449134Mccormick OH 41798                           44843512008-11-05
48764109Mason Anderson                0708119052Bunker Hill TX 59184                         21470202021-01-20
48793226Sanders Morales               1754326085Vermont TX 72786                             14027112011-03-02
48915802Margaret Fisher               1453008497Hayes TX 64329                               13058352012-08-04
48919892Amelia Watson                 0995339127Arapahoe TX 94230                            42441162017-01-11
49028143Sophia Martin                 1868142251Mosinee AL 53485                             33234582007-04-22
49031009Sarah Gutierrez               0592057914Golden Leaf SC 69524                         68093822003-01-19
49392328Richard Harris                1961663816Ridge Oak TX 91003                           87937802003-04-23
49401416Isabella Mitchell             18050316375th NC 54082                                 20346012012-04-15
